Data/Hora: 2026-05-05 18:09:24, Usuário: admin, Ação: onEntrarClick
Data/Hora: 2026-05-05 18:09:24, Usuário: admin, Ação: autenticarService
Data/Hora: 2026-05-05 18:09:24, Usuário: desconhecido, Ação: atualizarDashboard
Data/Hora: 2026-05-05 18:09:24, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-05 18:09:24, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-05 18:09:24, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-05 18:09:24, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-05 18:11:58, Usuário: admin, Ação: onClickDoacao
Data/Hora: 2026-05-05 18:11:58, Usuário: admin, Ação: doarService
Data/Hora: 2026-05-05 18:11:58, Usuário: admin, Ação: atualizarDashboard
Data/Hora: 2026-05-05 18:11:58, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-05 18:11:58, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-05 18:11:58, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-05 18:11:58, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-05 18:12:07, Usuário: admin, Ação: logout
Data/Hora: 2026-05-05 18:12:11, Usuário: admin, Ação: onEntrarClick
Data/Hora: 2026-05-05 18:12:11, Usuário: admin, Ação: autenticarService
Data/Hora: 2026-05-07 21:49:29, Usuário: admin, Ação: onEntrarClick
Data/Hora: 2026-05-07 21:49:29, Usuário: admin, Ação: autenticarService
Data/Hora: 2026-05-07 21:49:29, Usuário: admin, Ação: atualizarDashboard
Data/Hora: 2026-05-07 21:49:29, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-07 21:49:29, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:29, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-07 21:49:29, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: onClickDoacao
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: doarService
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: atualizarDashboard
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: onClickDoacao
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: doarService
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: atualizarDashboard
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: onClickDoacao
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: doarService
Data/Hora: 2026-05-07 21:49:33, Usuário: admin, Ação: atualizarDashboard
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-07 21:49:33, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:35, Usuário: admin, Ação: onClickDoacao
Data/Hora: 2026-05-07 21:49:35, Usuário: admin, Ação: doarService
Data/Hora: 2026-05-07 21:49:35, Usuário: admin, Ação: atualizarDashboard
Data/Hora: 2026-05-07 21:49:35, Usuário: sistema, Ação: obterListaDeEstoqueService
Data/Hora: 2026-05-07 21:49:35, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
Data/Hora: 2026-05-07 21:49:35, Usuário: sistema, Ação: criarCestaService
Data/Hora: 2026-05-07 21:49:35, Usuário: sistema, Ação: calcularEstoqueAgrupadoService
